start_station_name,start_station_id,start_lat,start_lng,total_trips,avg_trip_duration,member_trips,casual_trips,weekend_trips,weekday_trips,lunch_hour_trips,morning_trips,evening_trips,lunch_hour_share,weekend_share,total_trips_score,lunch_trips_score,lunch_share_score,weekday_score,casual_score,food_cart_score
S 4 St & Wythe Ave,5204.05,40.71285887,-73.96590294,5648,12.26746851687913,4843,805,1803,3845,1242,1385,1664,0.21990084985835695,0.31922804532577903,0.5064108311665023,0.46395218528203214,0.4270538243626062,0.4738139248305607,0.2880143112701252,0.45525557116972204
W 22 St & 10 Ave,6306.06,40.74691959,-74.00451887,5630,10.099832918886914,5017,613,1550,4080,1223,1173,1733,0.2172291296625222,0.2753108348134991,0.5047969156280822,0.45685468808367574,0.42186526630113,0.5027726432532348,0.21932021466905188,0.4507714464839722
Amsterdam Ave & W 73 St,7260.09,40.77966809007312,-73.98093044757842,5579,11.512114847344208,5006,573,1648,3931,1242,1267,1560,0.22262054131564796,0.2953934396845313,0.5002241549358917,0.46395218528203214,0.4323355440043018,0.48441158348736907,0.20500894454382826,0.448056069134971
Central Park W & W 72 St,7141.07,40.77579376683666,-73.9762057363987,4732,17.818512651451115,3186,1546,1632,3100,1202,864,1276,0.25401521555367707,0.3448858833474218,0.42428046265578767,0.44901008591707137,0.49330491136511195,0.3820086260012323,0.5531305903398926,0.4442689211056688
Bergen St & Vanderbilt Ave,4157.10,40.6794388,-73.9680438,5203,10.857020087769875,4606,597,1699,3504,1307,1126,1542,0.251201230059581,0.326542379396502,0.46651125257778175,0.4882330967500934,0.48784006997078044,0.43179297597042515,0.21359570661896243,0.4440115698600375
W 18 St & 6 Ave,6064.08,40.73971301,-73.99456405,5469,10.111915953556409,4975,494,1152,4317,1175,920,2067,0.21484732126531358,0.2106417992320351,0.4903613377566574,0.43892416884572283,0.4172397253558264,0.5319778188539741,0.17674418604651163,0.442007748446196
5 Ave & E 87 St,7323.09,40.78232260730881,-73.95987510681152,3887,21.909662713317896,2228,1659,1276,2611,1258,498,1020,0.3236429122716748,0.3282737329560072,0.348516094324397,0.4699290250280164,0.6285239165855713,0.3217498459642637,0.5935599284436494,0.4381625360366798
W 27 St & 6 Ave,6215.07,40.74526,-73.99062,5490,10.624930209471767,4919,571,1224,4266,1119,1085,2036,0.20382513661202187,0.22295081967213115,0.4922442392181476,0.4180052297347777,0.3958343232755207,0.5256931608133086,0.20429338103756708,0.43451429280567955
E 40 St & 5 Ave,6474.11,40.752062307,-73.9816324043,4979,11.534675617593894,4416,563,808,4171,1175,601,1926,0.2359911628841133,0.1622815826471179,0.4464269703218865,0.43892416884572283,0.4583016786445098,0.5139864448552064,0.20143112701252236,0.4340007712132191
1 Ave & E 18 St,5854.09,40.73381219196632,-73.98054420948029,5845,9.114218269175934,5331,514,1756,4089,1120,1386,1648,0.19161676646706588,0.30042771599657825,0.5240742401147673,0.41837878221890173,0.37212531458821485,0.5038817005545286,0.18389982110912342,0.433829987485947
